title,authors,description,categories,averageRating,ratingsCount,pageCount,publishedDate,infoLink,query,level,type
Pattern Recognition,"Apostolos Antonacopoulos, Subhasis Chaudhuri, Rama Chellappa, Cheng-Lin Liu, Saumik Bhattacharya, Umapada Pal","The multi-volume set of LNCS books with volume numbers 15301-15334 constitutes the refereed proceedings of the 27th International Conference on Pattern Recognition, ICPR 2024, held in Kolkata, India, during December 1–5, 2024. The 963 papers presented in these proceedings were carefully reviewed and selected from a total of 2106 submissions. They deal with topics such as Pattern Recognition; Artificial Intelligence; Machine Learning; Computer Vision; Robot Vision; Machine Vision; Image Processing; Speech Processing; Signal Processing; Video Processing; Biometrics; Human-Computer Interaction (HCI); Document Analysis; Document Recognition; Biomedical Imaging; Bioinformatics.",Computers,,,280.0,2024-12-01,https://play.google.com/store/books/details?id=UsY0EQAAQBAJ&source=gbs_api,supervised learning,Advanced,Theory
Introduction to OpenAI,"Gilad James, PhD","OpenAI is a non-profit organization which aims to advance artificial intelligence (AI) in a way that benefits humanity as a whole. It was founded in 2015 by a group of prominent figures in the tech industry, including Elon Musk and Sam Altman. OpenAI has a collaborative approach, partnering with industry leaders to develop AI in a safe and ethical manner. The organization is focused on developing AI technologies that can be used to tackle global issues such as climate change, poverty, and disease. One of the main goals of OpenAI is to create cutting-edge AI that can be used to solve real-world problems. This is achieved through a combination of research and development, industry partnerships, and open-source tools and frameworks that can be used by developers and researchers around the world. OpenAI is also focused on ensuring that AI technology is developed in a responsible and ethical manner. This includes creating safety mechanisms to prevent AI systems from causing harm, as well as ensuring that AI is designed to benefit society as a whole and not just a small subset of individuals. Ultimately, OpenAI's vision is to create a future where AI is used to solve humanity's biggest challenges, improve the quality of life for all people, and create a more equitable and sustainable world.",Science,,,81.0,,https://play.google.com/store/books/details?id=yty_EAAAQBAJ&source=gbs_api,supervised learning,Beginner,Theory
Introduction to Machine Learning,Jeeva Jose,AICTE recommended book for Indian Universities and Autonomous colleges. This book can be used as a self-study material or for instructor assisted teaching. Frequent questions for interviews and examinations are provided.,Computers,,,200.0,,https://play.google.com/store/books/details?id=KYAIEAAAQBAJ&source=gbs_api,supervised learning,Beginner,Theory
Encyclopedia of Applied Psychology,Charles Spielberger,"Encompasses topics including aging (geropsychology), assessment, clinical, cognitive, community, counseling, educational, environmental, family, industrial/organizational, health, school, sports, and transportation psychology. Each entry provides a clear definition, a brief review of the theoretical basis, and emphasizes major areas of application.",Business & Economics,5.0,1.0,962.0,2004-09-02,http://books.google.com/books?id=UriYBuiH_FkC&dq=supervised+learning&hl=&as_pt=BOOKS&source=gbs_api,supervised learning,Beginner,Practice
Learn Python From an Expert: The Complete Guide: With Artificial Intelligence,Edson L P Camacho,"The Ultimate Guide to Advanced Python and Artificial Intelligence: Unleash the Power of Code! Are you ready to take your Python programming skills to the next level and dive into the exciting world of artificial intelligence? Look no further! We proudly present the comprehensive book written by renowned author Edson L P Camacho: ""Advanced Python: Mastering AI."" In today's rapidly evolving technological landscape, the demand for AI professionals is soaring. Python, with its simplicity and versatility, has become the go-to language for AI development. Whether you are a seasoned Pythonista or a beginner eager to learn, this book is your gateway to mastering AI concepts and enhancing your programming expertise. What sets ""Advanced Python: Mastering AI"" apart from other books is its unparalleled combination of in-depth theory and hands-on practicality. Edson L P Camacho, a leading expert in the field, guides you through every step, from laying the foundation of Python fundamentals to implementing cutting-edge AI algorithms. Here's a glimpse of what you'll find within the pages of this comprehensive guide: 1. Python Fundamentals: Review and reinforce your knowledge of Python basics, including data types, control flow, functions, and object-oriented programming. Build a solid foundation to tackle complex AI concepts. 2. Data Manipulation and Visualization: Learn powerful libraries such as NumPy, Pandas, and Matplotlib to handle and analyze data. Understand how to preprocess and visualize data effectively for AI applications. 3. Machine Learning Essentials: Dive into the world of machine learning and explore popular algorithms like linear regression, decision trees, support vector machines, and neural networks. Discover how to train, evaluate, and optimize models for various tasks. 4. Deep Learning and Neural Networks: Delve deeper into neural networks, the backbone of modern AI. Gain insights into deep learning architectures, including convolutional neural networks (CNNs) and recurrent neural networks (RNNs). Implement advanced techniques like transfer learning and generative models. 5. Natural Language Processing (NLP): Explore the fascinating field of NLP and learn how to process and analyze textual data using Python. Discover techniques like sentiment analysis, named entity recognition, and text generation. 6. Computer Vision: Unleash the power of Python for image and video analysis. Build computer vision applications using popular libraries like OpenCV and TensorFlow. Understand concepts like object detection, image segmentation, and image captioning. 7. Reinforcement Learning: Embark on the exciting journey of reinforcement learning. Master the fundamentals of Q-learning, policy gradients, and deep Q-networks. Create intelligent agents that can learn and make decisions in dynamic environments. ""Advanced Python: Mastering AI"" not only equips you with the theoretical knowledge but also provides numerous real-world examples and projects to reinforce your understanding. Each chapter is accompanied by practical exercises and coding challenges to sharpen your skills and boost your confidence. Don't miss the opportunity to stay ahead in this AI-driven era. Order your copy of ""Advanced Python: Mastering AI"" today and unlock the full potential of Python programming with artificial intelligence. Take your career to new heights and become a proficient AI developer. Get ready to write the code that shapes the future!",Computers,,,620.0,2023-06-08,https://play.google.com/store/books/details?id=thfMEAAAQBAJ&source=gbs_api,supervised learning,Beginner,Practice
MultiMedia Modeling,"Stevan Rudinac, Alan Hanjalic, Cynthia Liem, Marcel Worring, Björn Þór Jónsson, Bei Liu, Yoko Yamakata","This book constitutes the refereed proceedings of the 30th International Conference on MultiMedia Modeling, MMM 2024, held in Amsterdam, The Netherlands, during January 29 – February 2, 2024. The 112 full papers included in this volume were carefully reviewed and selected from 297 submissions. The MMM conference were organized in topics related to multimedia modelling, particularly: audio, image, video processing, coding and compression; multimodal analysis for retrieval applications, and multimedia fusion methods.",Computers,,,523.0,2024-01-27,https://play.google.com/store/books/details?id=DWD8EAAAQBAJ&source=gbs_api,supervised learning,Advanced,Theory
Proceedings of the 12th International Conference on Computer Engineering and Networks,"Qi Liu, Xiaodong Liu, Jieren Cheng, Tao Shen, Yuan Tian","This conference proceeding is a collection of the papers accepted by the CENet2022 – the 12th International Conference on Computer Engineering and Networks held on November 4-7, 2022 in Haikou, China. The topics focus but are not limited to Internet of Things and Smart Systems, Artificial Intelligence and Applications, Communication System Detection, Analysis and Application, and Medical Engineering and Information Systems. Each part can be used as an excellent reference by industry practitioners, university faculties, research fellows and undergraduates as well as graduate students who need to build a knowledge base of the most current advances and state-of-practice in the topics covered by this conference proceedings. This will enable them to produce, maintain, and manage systems with high levels of trustworthiness and complexity.",Technology & Engineering,,,1506.0,2022-10-19,https://play.google.com/store/books/details?id=4iuWEAAAQBAJ&source=gbs_api,supervised learning,Advanced,Theory
Cyberspace Safety and Security,"Yang Xiang, Javier Lopez, C.-C. Jay Kuo, Wanlei Zhou","This book constitutes the refereed proceedings of the 4th International Symposium on Cyberspace Safety and Security (CSS 2012), held in Melbourne, Australia, in December 2012. The 30 revised full papers presented together with 7 invited talks were carefully reviewed and selected from 105 submissions. The papers cover the following topics: mobile security, cyberspace attacks and defense, security application adn systems, network and cloud security, wireless security, security protocols and models.",Computers,,,521.0,2012-12-02,https://play.google.com/store/books/details?id=diK6BQAAQBAJ&source=gbs_api,supervised learning,Advanced,Theory
Introduction to Transfer Learning,"Jindong Wang, Yiqiang Chen","Transfer learning is one of the most important technologies in the era of artificial intelligence and deep learning. It seeks to leverage existing knowledge by transferring it to another, new domain. Over the years, a number of relevant topics have attracted the interest of the research and application community: transfer learning, pre-training and fine-tuning, domain adaptation, domain generalization, and meta-learning. This book offers a comprehensive tutorial on an overview of transfer learning, introducing new researchers in this area to both classic and more recent algorithms. Most importantly, it takes a “student’s” perspective to introduce all the concepts, theories, algorithms, and applications, allowing readers to quickly and easily enter this area. Accompanying the book, detailed code implementations are provided to better illustrate the core ideas of several important algorithms, presenting good examples for practice.",Computers,,,333.0,2023-03-30,https://play.google.com/store/books/details?id=GOW2EAAAQBAJ&source=gbs_api,supervised learning,Beginner,Theory
Introduction to Genetic Algorithms,"S.N. Sivanandam, S. N. Deepa","Theoriginofevolutionaryalgorithmswasanattempttomimicsomeoftheprocesses taking place in natural evolution. Although the details of biological evolution are not completely understood (even nowadays), there exist some points supported by strong experimental evidence: • Evolution is a process operating over chromosomes rather than over organisms. The former are organic tools encoding the structure of a living being, i.e., a cr- ture is “built” decoding a set of chromosomes. • Natural selection is the mechanism that relates chromosomes with the ef ciency of the entity they represent, thus allowing that ef cient organism which is we- adapted to the environment to reproduce more often than those which are not. • The evolutionary process takes place during the reproduction stage. There exists a large number of reproductive mechanisms in Nature. Most common ones are mutation (that causes the chromosomes of offspring to be different to those of the parents) and recombination (that combines the chromosomes of the parents to produce the offspring). Based upon the features above, the three mentioned models of evolutionary c- puting were independently (and almost simultaneously) developed.",Technology & Engineering,4.5,2.0,453.0,2007-10-24,https://play.google.com/store/books/details?id=wonrLjj2GagC&source=gbs_api,supervised learning,Beginner,Theory
"Machine Learning and Artificial Intelligence: Concepts, Algorithms and Models",Reza Rawassizadeh,"Mastering AI, machine learning, and data science often means piecing together concepts scattered across countless resources—from statistics and visualizations to foundational models and large language models. This book, the result of eight years of effort, brings it all together in one accessible, engaging package. It clarifies artificial intelligence and data science, blending core mathematical principles with a clear, reader-friendly approach. Unlike traditional textbooks that lean heavily on equations and mathematical formalization, the author starts with minimal prerequisites, layering deeper math as the reader progresses. Each concept, algorithm, or model is unpacked through clear, hands-on examples that build the reader's skills step by step. It strikes a balance between theoretical foundations and practical application, serving as both an academic reference and a practical guide. Furthermore, the book uses humor, casual language, and comics to make the challenging concepts and topics relatable and fun. Any resemblance between the jokes and real life is pure coincidence, and no offense is intended.",Computers,,,1166.0,2025-03-15,https://play.google.com/store/books/details?id=rg9TEQAAQBAJ&source=gbs_api,supervised learning,Beginner,Theory
"Advances in Internet, Data and Web Technologies","Leonard Barolli, Yoshihiro Okada, Flora Amato","This book presents original contributions on the theories and practices of emerging Internet, data and web technologies and their applicability in businesses, engineering and academia. The Internet has become the most proliferative platform for emerging large-scale computing paradigms. Among them, data and web technologies are two most prominent paradigms, and manifest in a variety of forms such as data centers, cloud computing, mobile cloud, mobile web services and so on. Together, these technologies form a digital ecosystem based on the data cycle, from capturing to processing, analysis and visualization. The investigation of various research and development issues in this digital ecosystem is made all the more important by the ever-increasing needs of real-life applications, which involve storing and processing large amounts of data. As a key feature, the book addresses advances in the life-cycle exploitation of data generated from the digital ecosystem, and data technologies that create value for businesses, moving toward a collective intelligence approach. Given its scope, the book offers a valuable reference guide for researchers, software developers, practitioners and students interested in the field of data and web technologies.",Computers,,,598.0,2020-01-30,https://play.google.com/store/books/details?id=IG_NDwAAQBAJ&source=gbs_api,supervised learning,Advanced,Theory
Handbook of Artificial Intelligence,"Dumpala Shanthi, B. Madhuravani, Ashwani Kumar","Artificial Intelligence (AI) is an interdisciplinary science with multiple approaches to solve a problem. Advancements in machine learning (ML) and deep learning are creating a paradigm shift in virtually every tech industry sector. This handbook provides a quick introduction to concepts in AI and ML. The sequence of the book contents has been set in a way to make it easy for students and teachers to understand relevant concepts with a practical orientation. This book starts with an introduction to AI/ML and its applications. Subsequent chapters cover predictions using ML, and focused information about AI/ML algorithms for different industries (health care, agriculture, autonomous driving, image classification and segmentation, SEO, smart gadgets and security). Each industry use-case demonstrates a specific aspect of AI/ML techniques that can be used to create pipelines for technical solutions such as data processing, object detection, classification and more. Additional features of the book include a summary and references in every chapter, and several full-color images to visualize concepts for easy understanding. It is an ideal handbook for both students and instructors in undergraduate level courses in artificial intelligence, data science, engineering and computer science who are required to understand AI/ML in a practical context.",Computers,,,297.0,2023-11-13,http://books.google.com/books?id=XyHkEAAAQBAJ&dq=supervised+learning&hl=&as_pt=BOOKS&source=gbs_api,supervised learning,Beginner,Practice
New Age Technology in Supply Chain Management,Mohammed Majeed,"This new book details the impact of IT and digital transformation tools on supply chain management and how these smart tools can be the keys to the success of organizations. The technologies covered include big data, robotics, artificial intelligence, machine learning, blockchain, and the Internet of Things. The book first provides an introduction to IT and supply chain management and explains how digital tools can positively affect procurement in different types of industries and markets, covering their importance, methods, and requirements for efficient and effective implementation in workplaces and businesses. The book covers topics such as the application of artificial intelligence in SCM in the hospitality and hotel sector as well as in the oil and gas industry. The volume presents a global perspective on procurement and supply chain management using detailed real-world examples to bring the subject matter to life. It will be a valuable resource for industry executives and researchers as well as for faculty and students studying this area.",Business & Economics,,,211.0,2025-05-09,https://play.google.com/store/books/details?id=uBNJEQAAQBAJ&source=gbs_api,supervised learning,Beginner,Theory
GANs for Data Augmentation in Healthcare,"Arun Solanki, Mohd Naved","Computer-Assisted Diagnostics (CAD) using Convolutional Neural Network (CNN) model has become an important technology in the medical industry, improving the accuracy of diagnostics. However, the lack Magnetic Resonance Imaging (MRI) data leads to the failure of the depth study algorithm. Medical records are often different because of the cost of obtaining information and the time spent consuming the information. In general, clinical data is unreliable and therefore the training of neural network methods to distribute disease across classes does not yield the desired results. Data augmentation is often done by training data to solve problems caused by augmentation tasks such as scaling, cropping, flipping, padding, rotation, translation, affine transformation, and color augmentation techniques such as brightness, contrast, saturation, and hue. Data Augmentation and Segmentation imaging using GAN can be used to provide clear images of brain, liver, chest, abdomen, and liver on an MRI. In addition, GAN shows strong promise in the field of clinical image synthesis. In many cases, clinical evaluation is limited by a lack of data and/or the cost of actual information. GAN can overcome these problems by enabling scientists and clinicians to work on beautiful and realistic images. This can improve diagnosis, prognosis, and disease. Finally, GAN highlights the potential for location of patient information within the data. This is a beneficial clinical application of GAN because it can effectivelyprotect patient confidentiality. This book covers the application of GANs on medical imaging augmentation and segmentation.",Medical,,,255.0,2023-11-13,https://play.google.com/store/books/details?id=tQvjEAAAQBAJ&source=gbs_api,supervised learning,Advanced,Practice
Intelligence-Based Cardiology and Cardiac Surgery,"Anthony C. Chang, Alfonso Limon, Robert Brisk, Francisco Lopez- Jimenez, Louise Y Sun","Intelligence-Based Cardiology and Cardiac Surgery: Artificial Intelligence and Human Cognition in Cardiovascular Medicine provides a comprehensive survey of artificial intelligence concepts and methodologies with real-life applications in cardiovascular medicine. Authored by a senior physician-data scientist, the book presents an intellectual and academic interface between the medical and data science domains. The book's content consists of basic concepts of artificial intelligence and human cognition applications in cardiology and cardiac surgery. This portfolio ranges from big data, machine and deep learning, cognitive computing and natural language processing in cardiac disease states such as heart failure, hypertension and pediatric heart care. The book narrows the knowledge and expertise chasm between the data scientists, cardiologists and cardiac surgeons, inspiring clinicians to embrace artificial intelligence methodologies, educate data scientists about the medical ecosystem, and create a transformational paradigm for healthcare and medicine. - Covers a wide range of relevant topics from real-world data, large language models, and supervised machine learning to deep reinforcement and federated learning - Presents artificial intelligence concepts and their applications in many areas in an easy-to-understand format accessible to clinicians and data scientists - Discusses using artificial intelligence and related technologies with cardiology and cardiac surgery in a myriad of venues and situations - Delineates the necessary elements for successfully implementing artificial intelligence in cardiovascular medicine for improved patient outcomes - Presents the regulatory, ethical, legal, and financial issues embedded in artificial intelligence applications in cardiology",Science,,,542.0,2023-09-06,https://play.google.com/store/books/details?id=kSipEAAAQBAJ&source=gbs_api,supervised learning,Beginner,Practice
Data Science for Economics and Finance,"Sergio Consoli, Diego Reforgiato Recupero, Michaela Saisana","This open access book covers the use of data science, including advanced machine learning, big data analytics, Semantic Web technologies, natural language processing, social media analysis, time series analysis, among others, for applications in economics and finance. In addition, it shows some successful applications of advanced data science solutions used to extract new knowledge from data in order to improve economic forecasting models. The book starts with an introduction on the use of data science technologies in economics and finance and is followed by thirteen chapters showing success stories of the application of specific data science methodologies, touching on particular topics related to novel big data sources and technologies for economic analysis (e.g. social media and news); big data models leveraging on supervised/unsupervised (deep) machine learning; natural language processing to build economic and financial indicators; and forecasting and nowcasting of economic variables through time series analysis. This book is relevant to all stakeholders involved in digital and data-intensive research in economics and finance, helping them to understand the main opportunities and challenges, become familiar with the latest methodological findings, and learn how to use and evaluate the performances of novel tools and frameworks. It primarily targets data scientists and business analysts exploiting data science technologies, and it will also be a useful resource to research students in disciplines and courses related to these topics. Overall, readers will learn modern and effective data science solutions to create tangible innovations for economic and financial applications.",Computers,,,357.0,2021-06-09,https://play.google.com/store/books/details?id=Y7wyEAAAQBAJ&source=gbs_api,supervised learning,Advanced,Practice
Hands-On Unsupervised Learning Using Python,Ankur A. Patel,"Many industry experts consider unsupervised learning the next frontier in artificial intelligence, one that may hold the key to general artificial intelligence. Since the majority of the world's data is unlabeled, conventional supervised learning cannot be applied. Unsupervised learning, on the other hand, can be applied to unlabeled datasets to discover meaningful patterns buried deep in the data, patterns that may be near impossible for humans to uncover. Author Ankur Patel shows you how to apply unsupervised learning using two simple, production-ready Python frameworks: Scikit-learn and TensorFlow using Keras. With code and hands-on examples, data scientists will identify difficult-to-find patterns in data and gain deeper business insight, detect anomalies, perform automatic feature engineering and selection, and generate synthetic datasets. All you need is programming and some machine learning experience to get started. Compare the strengths and weaknesses of the different machine learning approaches: supervised, unsupervised, and reinforcement learning Set up and manage machine learning projects end-to-end Build an anomaly detection system to catch credit card fraud Clusters users into distinct and homogeneous groups Perform semisupervised learning Develop movie recommender systems using restricted Boltzmann machines Generate synthetic images using generative adversarial networks",Computers,2.0,1.0,309.0,2019-02-21,https://play.google.com/store/books/details?id=AyOJDwAAQBAJ&source=gbs_api,unsupervised learning,Beginner,Practice
Unsupervised Learning Algorithms,"M. Emre Celebi, Kemal Aydin","This book summarizes the state-of-the-art in unsupervised learning. The contributors discuss how with the proliferation of massive amounts of unlabeled data, unsupervised learning algorithms, which can automatically discover interesting and useful patterns in such data, have gained popularity among researchers and practitioners. The authors outline how these algorithms have found numerous applications including pattern recognition, market basket analysis, web mining, social network analysis, information retrieval, recommender systems, market research, intrusion detection, and fraud detection. They present how the difficulty of developing theoretically sound approaches that are amenable to objective evaluation have resulted in the proposal of numerous unsupervised learning algorithms over the past half-century. The intended audience includes researchers and practitioners who are increasingly using unsupervised learning algorithms to analyze their data. Topics of interest include anomaly detection, clustering, feature extraction, and applications of unsupervised learning. Each chapter is contributed by a leading expert in the field.",Technology & Engineering,,,0.0,2016-05-09,http://books.google.com/books?id=gBIXswEACAAJ&dq=unsupervised+learning&hl=&as_pt=BOOKS&source=gbs_api,unsupervised learning,Advanced,Theory
Unsupervised Learning in Space and Time,Marius Leordeanu,"This book addresses one of the most important unsolved problems in artificial intelligence: the task of learning, in an unsupervised manner, from massive quantities of spatiotemporal visual data that are available at low cost. The book covers important scientific discoveries and findings, with a focus on the latest advances in the field. Presenting a coherent structure, the book logically connects novel mathematical formulations and efficient computational solutions for a range of unsupervised learning tasks, including visual feature matching, learning and classification, object discovery, and semantic segmentation in video. The final part of the book proposes a general strategy for visual learning over several generations of student-teacher neural networks, along with a unique view on the future of unsupervised learning in real-world contexts. Offering a fresh approach to this difficult problem, several efficient, state-of-the-art unsupervised learning algorithms are reviewed in detail, complete with an analysis of their performance on various tasks, datasets, and experimental setups. By highlighting the interconnections between these methods, many seemingly diverse problems are elegantly brought together in a unified way. Serving as an invaluable guide to the computational tools and algorithms required to tackle the exciting challenges in the field, this book is a must-read for graduate students seeking a greater understanding of unsupervised learning, as well as researchers in computer vision, machine learning, robotics, and related disciplines.",Computers,,,315.0,2020-04-17,https://play.google.com/store/books/details?id=CqvdDwAAQBAJ&source=gbs_api,unsupervised learning,Advanced,Theory
Bioconductor Case Studies,"Florian Hahne, Wolfgang Huber, Robert Gentleman, Seth Falcon","Bioconductor software has become a standard tool for the analysis and comprehension of data from high-throughput genomics experiments. Its application spans a broad field of technologies used in contemporary molecular biology. In this volume, the authors present a collection of cases to apply Bioconductor tools in the analysis of microarray gene expression data. Topics covered include: (1) import and preprocessing of data from various sources; (2) statistical modeling of differential gene expression; (3) biological metadata; (4) application of graphs and graph rendering; (5) machine learning for clustering and classification problems; (6) gene set enrichment analysis. Each chapter of this book describes an analysis of real data using hands-on example driven approaches. Short exercises help in the learning process and invite more advanced considerations of key topics. The book is a dynamic document. All the code shown can be executed on a local computer, and readers are able to reproduce every computation, figure, and table.",Science,5.0,2.0,287.0,2010-06-09,https://play.google.com/store/books/details?id=F3tAehmRHSwC&source=gbs_api,unsupervised learning,Beginner,Practice
Unsupervised Process Monitoring and Fault Diagnosis with Machine Learning Methods,"Chris Aldrich, Lidia Auret","This unique text/reference describes in detail the latest advances in unsupervised process monitoring and fault diagnosis with machine learning methods. Abundant case studies throughout the text demonstrate the efficacy of each method in real-world settings. The broad coverage examines such cutting-edge topics as the use of information theory to enhance unsupervised learning in tree-based methods, the extension of kernel methods to multiple kernel learning for feature extraction from data, and the incremental training of multilayer perceptrons to construct deep architectures for enhanced data projections. Topics and features: discusses machine learning frameworks based on artificial neural networks, statistical learning theory and kernel-based methods, and tree-based methods; examines the application of machine learning to steady state and dynamic operations, with a focus on unsupervised learning; describes the use of spectral methods in process fault diagnosis.",Computers,,,388.0,2013-06-15,https://play.google.com/store/books/details?id=gVZHAAAAQBAJ&source=gbs_api,unsupervised learning,Advanced,Theory
Face Image Analysis by Unsupervised Learning,Marian Stewart Bartlett,"Face Image Analysis by Unsupervised Learning explores adaptive approaches to image analysis. It draws upon principles of unsupervised learning and information theory to adapt processing to the immediate task environment. In contrast to more traditional approaches to image analysis in which relevant structure is determined in advance and extracted using hand-engineered techniques, Face Image Analysis by Unsupervised Learning explores methods that have roots in biological vision and/or learn about the image structure directly from the image ensemble. Particular attention is paid to unsupervised learning techniques for encoding the statistical dependencies in the image ensemble. The first part of this volume reviews unsupervised learning, information theory, independent component analysis, and their relation to biological vision. Next, a face image representation using independent component analysis (ICA) is developed, which is an unsupervised learning technique based on optimal information transfer between neurons. The ICA representation is compared to a number of other face representations including eigenfaces and Gabor wavelets on tasks of identity recognition and expression analysis. Finally, methods for learning features that are robust to changes in viewpoint and lighting are presented. These studies provide evidence that encoding input dependencies through unsupervised learning is an effective strategy for face recognition. Face Image Analysis by Unsupervised Learning is suitable as a secondary text for a graduate-level course, and as a reference for researchers and practitioners in industry.",Computers,,,181.0,2012-12-06,https://play.google.com/store/books/details?id=vTPrBwAAQBAJ&source=gbs_api,unsupervised learning,Advanced,Theory
Hands-On Unsupervised Learning with Python,Giuseppe Bonaccorso,"Discover the skill-sets required to implement various approaches to Machine Learning with Python Key FeaturesExplore unsupervised learning with clustering, autoencoders, restricted Boltzmann machines, and moreBuild your own neural network models using modern Python librariesPractical examples show you how to implement different machine learning and deep learning techniquesBook Description Unsupervised learning is about making use of raw, untagged data and applying learning algorithms to it to help a machine predict its outcome. With this book, you will explore the concept of unsupervised learning to cluster large sets of data and analyze them repeatedly until the desired outcome is found using Python. This book starts with the key differences between supervised, unsupervised, and semi-supervised learning. You will be introduced to the best-used libraries and frameworks from the Python ecosystem and address unsupervised learning in both the machine learning and deep learning domains. You will explore various algorithms, techniques that are used to implement unsupervised learning in real-world use cases. You will learn a variety of unsupervised learning approaches, including randomized optimization, clustering, feature selection and transformation, and information theory. You will get hands-on experience with how neural networks can be employed in unsupervised scenarios. You will also explore the steps involved in building and training a GAN in order to process images. By the end of this book, you will have learned the art of unsupervised learning for different real-world challenges. What you will learnUse cluster algorithms to identify and optimize natural groups of dataExplore advanced non-linear and hierarchical clustering in actionSoft label assignments for fuzzy c-means and Gaussian mixture modelsDetect anomalies through density estimationPerform principal component analysis using neural network modelsCreate unsupervised models using GANsWho this book is for This book is intended for statisticians, data scientists, machine learning developers, and deep learning practitioners who want to build smart applications by implementing key building block unsupervised learning, and master all the new techniques and algorithms offered in machine learning and deep learning using real-world examples. Some prior knowledge of machine learning concepts and statistics is desirable.",Computers,,,375.0,2019-02-28,https://play.google.com/store/books/details?id=lgyLDwAAQBAJ&source=gbs_api,unsupervised learning,Beginner,Practice
The Unsupervised Learning Workshop,"Aaron Jones, Christopher Kruger, Benjamin Johnston","Learning how to apply unsupervised algorithms on unlabeled datasets from scratch can be easier than you thought with this beginner's workshop, featuring interesting examples and activities Key FeaturesGet familiar with the ecosystem of unsupervised algorithmsLearn interesting methods to simplify large amounts of unorganized dataTackle real-world challenges, such as estimating the population density of a geographical areaBook Description Do you find it difficult to understand how popular companies like WhatsApp and Amazon find valuable insights from large amounts of unorganized data? The Unsupervised Learning Workshop will give you the confidence to deal with cluttered and unlabeled datasets, using unsupervised algorithms in an easy and interactive manner. The book starts by introducing the most popular clustering algorithms of unsupervised learning. You'll find out how hierarchical clustering differs from k-means, along with understanding how to apply DBSCAN to highly complex and noisy data. Moving ahead, you'll use autoencoders for efficient data encoding. As you progress, you'll use t-SNE models to extract high-dimensional information into a lower dimension for better visualization, in addition to working with topic modeling for implementing natural language processing (NLP). In later chapters, you'll find key relationships between customers and businesses using Market Basket Analysis, before going on to use Hotspot Analysis for estimating the population density of an area. By the end of this book, you'll be equipped with the skills you need to apply unsupervised algorithms on cluttered datasets to find useful patterns and insights. What you will learnDistinguish between hierarchical clustering and the k-means algorithmUnderstand the process of finding clusters in dataGrasp interesting techniques to reduce the size of dataUse autoencoders to decode dataExtract text from a large collection of documents using topic modelingCreate a bag-of-words model using the CountVectorizerWho this book is for If you are a data scientist who is just getting started and want to learn how to implement machine learning algorithms to build predictive models, then this book is for you. To expedite the learning process, a solid understanding of the Python programming language is recommended, as you'll be editing classes and functions instead of creating them from scratch.",Computers,,,549.0,2020-07-29,https://play.google.com/store/books/details?id=JhX0DwAAQBAJ&source=gbs_api,unsupervised learning,Beginner,Practice
Industrial Machine Learning,Andreas François Vermeulen,"Understand the industrialization of machine learning (ML) and take the first steps toward identifying and generating the transformational disruptors of artificial intelligence (AI). You will learn to apply ML to data lakes in various industries, supplying data professionals with the advanced skills required to handle the future of data engineering and data science. Data lakes currently generated by worldwide industrialized business activities are projected to reach 35 zettabytes (ZB) as the Fourth Industrial Revolution produces an exponential increase of volume, velocity, variety, variability, veracity, visualization, and value. Industrialization of ML evolves from AI and studying pattern recognition against the increasingly unstructured resource stored in data lakes. Industrial Machine Learning supplies advanced, yet practical examples in different industries, including finance, public safety, health care, transportation, manufactory,supply chain, 3D printing, education, research, and data science. The book covers: supervised learning, unsupervised learning, reinforcement learning, evolutionary computing principles, soft robotics disruptors, and hard robotics disruptors. What You Will Learn Generate and identify transformational disruptors of artificial intelligence (AI) Understand the field of machine learning (ML) and apply it to handle big data and process the data lakes in your environment Hone the skills required to handle the future of data engineering and data science Who This Book Is For Intermediate to expert level professionals in the fields of data science, data engineering, machine learning, and data management",Computers,,,652.0,2019-11-30,https://play.google.com/store/books/details?id=6xfBDwAAQBAJ&source=gbs_api,unsupervised learning,Advanced,Practice
